id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Mbark Boussoufa,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,3,2,0,0,1,0,1,0,0,0,0,2,0
Manuel Marouan da Costa Trinidade,0,2,4,3,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,1,0
Achraf Hakimi Mouh,1,1,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,4,3,1,1,0,0,0,2,0,0,0,0,0,2,0
Hakim Ziyech,0,3,4,3,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,3,2,0,0,0,1,0,1,0,0,0,0,1,0
Medhi Amine El Mouttaqi Benatia,1,1,4,2,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
Nabil Dirar,2,0,10,0,1,0,0,0,0,0,5,0,0,0,0,0,0,3,2,1,0,2,6,0,0,0,0,0,0,0,0,0,1,0
Nordin Amrabat,2,1,4,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1,1,1,2,2,0,0,2,0,0,0,1,0,0,0,1,0
Munir Mohand Mohamedi,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Khalid Boutaïb/Ayoub El Kaabi,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Younès Belhanda/Mehdi Carcela-González,0,1,4,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0
Karim El Ahmadi Al Aroos/Fayçal Fajr,3,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
