id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Ashley Cole,0,6,0,0,2,0,0,0,0,0,4,0,0,0,0,5,0,1,3,0,0,1,0,0,0,0,4,0,8,0,0,0,1,0
David Luiz Moreira Marinho,0,1,2,0,0,0,0,1,4,2,1,0,0,0,0,0,1,2,0,4,0,3,2,0,1,3,0,1,0,0,0,0,2,0
Petr Čech,0,5,2,1,2,0,1,1,1,0,3,0,0,4,0,2,0,1,3,0,1,2,0,0,5,0,2,2,6,0,0,0,1,0
José Bosingwa da Silva,0,3,0,0,1,0,1,0,0,3,1,0,0,0,0,1,0,2,4,3,0,3,0,0,0,0,4,0,1,0,0,0,6,0
John Michael Nchekwube Obinna,0,2,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,4,0,0,1,0,5,0,1,2,2,3,1,0,0,0,10,0
Juan Manuel Mata García,0,1,2,1,0,0,1,0,1,1,2,0,0,0,1,0,0,1,0,0,2,2,1,0,2,1,0,7,0,0,0,0,9,0
Frank Lampard,0,1,2,1,0,1,0,0,0,1,4,0,0,0,1,0,0,1,0,3,2,2,2,0,2,3,0,3,0,0,0,0,10,0
Didier Yves Drogba Tébily,0,1,5,2,0,0,0,1,3,0,0,0,0,1,5,0,4,0,1,0,4,2,1,0,3,0,1,4,0,0,0,0,0,0
Gary Cahill,0,0,2,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,5,0,0,0,0,8,0
Ryan Bertrand/Florent Malouda,0,0,3,2,0,2,0,0,6,3,0,0,0,0,0,0,2,0,0,2,0,5,0,0,0,4,0,2,0,0,0,0,1,0
Salomon Armand Magloire Kalou/Fernando José Torres Sanz,0,1,2,1,0,0,0,0,3,3,1,0,0,2,1,0,0,2,2,0,2,3,0,0,0,1,1,5,0,0,0,0,9,0
