id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Gabriel Fernando de Jesus,0,1,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Henrique Casimiro,1,0,8,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,1,2,0,4,4,0,0,0,1,0,0,0,0,0,0,0
José Paulo Bezzera Maciel Júnior,3,2,2,0,0,0,2,4,0,1,2,0,0,0,1,1,0,0,2,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0
João Miranda de Souza Filho,2,2,6,0,1,1,1,3,1,1,5,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,0,3,0,0,0,0,0,0
Philippe Coutinho Correia,2,1,4,0,0,0,2,1,2,1,2,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0
Alisson Ramsés Becker,0,1,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neymar da Silva Santos Junior,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,3,0,0,0,0,0,0,0,0,0,1,0
Willian Borges da Silva,1,1,2,0,0,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Thiago Emiliano da Silva,1,2,4,0,0,2,1,0,2,2,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,2,0,0,0,0,0,0
Fágner Conserva Lemos,2,1,2,1,0,1,1,1,2,1,1,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Marcelo Vieira da Silva Júnior/Filipe Luis Kasmirski,1,2,6,0,0,2,0,2,2,2,2,0,0,0,1,0,0,0,0,1,3,2,1,0,0,1,0,1,0,0,0,0,1,0
