id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Brooke Hendrix,0.006097560975609756,0.006097560975609756,0.0,0.0,0.012195121951219513,0.012195121951219513,0.006097560975609756,0.006097560975609756,0.006097560975609756,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.006097560975609756,0.006097560975609756,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anne Moorhouse,0.006097560975609756,0.006097560975609756,0.0,0.0,0.0,0.012195121951219513,0.006097560975609756,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.006097560975609756,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilly Louise Scarlett Flaherty,0.006097560975609756,0.0,0.0,0.0,0.0,0.018292682926829267,0.0,0.0,0.006097560975609756,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
So-Hyun Cho,0.018292682926829267,0.012195121951219513,0.0,0.006097560975609756,0.0,0.012195121951219513,0.036585365853658534,0.006097560975609756,0.006097560975609756,0.03048780487804878,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.006097560975609756,0.0,0.006097560975609756,0.012195121951219513,0.006097560975609756,0.006097560975609756,0.0,0.0,0.006097560975609756,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0
Leanne Kiernan,0.0,0.012195121951219513,0.012195121951219513,0.0,0.018292682926829267,0.0,0.0,0.006097560975609756,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.006097560975609756,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0
Claire Lauren Rafferty,0.012195121951219513,0.006097560975609756,0.0,0.006097560975609756,0.006097560975609756,0.0,0.012195121951219513,0.006097560975609756,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.006097560975609756,0.006097560975609756,0.006097560975609756,0.006097560975609756,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brianna Visalli,0.006097560975609756,0.012195121951219513,0.006097560975609756,0.0,0.018292682926829267,0.006097560975609756,0.012195121951219513,0.012195121951219513,0.0,0.006097560975609756,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.006097560975609756,0.006097560975609756,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0
Alisha Lehmann,0.006097560975609756,0.006097560975609756,0.006097560975609756,0.0,0.006097560975609756,0.018292682926829267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adriana Leon,0.0,0.006097560975609756,0.006097560975609756,0.0,0.012195121951219513,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kate Longhurst,0.012195121951219513,0.012195121951219513,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.006097560975609756,0.018292682926829267,0.024390243902439025,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erin Simon,0.006097560975609756,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.018292682926829267,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.012195121951219513,0.0,0.006097560975609756,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
