id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Raphaël Varane,1,0,2,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Carvajal Ramos,1,2,8,0,0,1,0,1,1,3,2,0,0,1,0,0,0,0,1,2,6,1,6,0,0,1,1,0,0,1,1,0,0,0
Carlos Henrique Casimiro,1,1,6,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,4,1,0,0,2,2,0,0,1,0,1,1,0
Keylor Navas Gamboa,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Ramos García,2,2,0,0,0,1,3,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Cristiano Ronaldo dos Santos Aveiro,1,1,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Toni Kroos,2,2,4,1,0,1,0,2,0,1,1,0,0,0,0,1,0,0,2,0,2,1,0,0,2,1,1,1,0,0,2,0,1,0
Mateo Kovačić,1,2,4,0,0,2,1,0,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,0,2,1,0,0,0,2,1,0,0,0
Marcelo Vieira da Silva Júnior,1,1,8,0,0,1,0,1,0,1,3,0,0,0,0,0,0,1,1,3,2,2,3,0,0,1,0,1,0,0,0,2,1,0
Luka Modrić,2,0,4,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,2,0,0,0,0,1,0,0
Karim Benzema,0,2,2,0,0,2,0,0,3,1,0,0,0,0,0,0,1,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0
